n,k_true,epsilon,scheme,delta_used,eta,seed,ari,count_max_pred,count_max_true,count_mae_max,count_total_pred,count_total_true,count_mae_total,n_clusters_found,elapsed_sec
150,4,10,fixed-1,1,0.04,4,0.0,150,48,102,150,143,7,1,0.0014
150,4,10,fixed-2,2,0.16,4,0.009996287486078125,149,48,101,150,143,7,2,0.0011
150,4,10,fixed-3,3,0.27999999999999997,4,0.5514155203838478,98,48,50,150,143,7,6,0.0011
150,4,10,fixed-5,5,0.5199999999999999,4,0.8653042279096992,45,48,3,150,143,7,21,0.001
150,4,10,fixed-7,7,0.7599999999999999,4,0.3394141880598449,26,48,22,150,143,7,77,0.0009
150,4,10,adaptive-a0.30,3,0.27999999999999997,4,0.5514155203838478,98,48,50,150,143,7,6,0.0011
150,4,10,adaptive-a0.40,4,0.39999999999999997,4,0.5498067440530009,95,48,47,150,143,7,10,0.001
150,4,10,adaptive-a0.50,4,0.39999999999999997,4,0.5498067440530009,95,48,47,150,143,7,10,0.001
250,4,10,fixed-1,1,0.06976744186046512,0,0.0,250,80,170,250,238,12,1,0.0061
250,4,10,fixed-2,2,0.186046511627907,0,0.5224013290975356,167,80,87,250,238,12,5,0.0039
250,4,10,fixed-3,3,0.3023255813953489,0,0.9591136541645059,79,80,1,250,238,12,19,0.0036
250,4,10,fixed-5,5,0.5348837209302325,0,0.7940308760614404,73,80,7,250,238,12,47,0.0037
250,4,10,fixed-7,7,0.7674418604651163,0,0.2891034909674362,46,80,34,250,238,12,140,0.0042
250,4,10,adaptive-a0.30,2,0.186046511627907,0,0.5224013290975356,167,80,87,250,238,12,5,0.0038
250,4,10,adaptive-a0.40,3,0.3023255813953489,0,0.9591136541645059,79,80,1,250,238,12,19,0.0036
250,4,10,adaptive-a0.50,4,0.4186046511627907,0,0.9410307375886363,78,80,2,250,238,12,22,0.0018
250,4,10,fixed-1,1,0.06976744186046512,1,0.0,250,80,170,250,238,12,1,0.002
250,4,10,fixed-2,2,0.186046511627907,1,0.030828225982091936,245,80,165,250,238,12,6,0.0032
250,4,10,fixed-3,3,0.3023255813953489,1,0.5720159645479385,160,80,80,250,238,12,13,0.004
250,4,10,fixed-5,5,0.5348837209302325,1,0.5194323915014306,136,80,56,250,238,12,41,0.0035
250,4,10,fixed-7,7,0.7674418604651163,1,0.2648420918378698,77,80,3,250,238,12,124,0.0037
250,4,10,adaptive-a0.30,2,0.186046511627907,1,0.030828225982091936,245,80,165,250,238,12,6,0.003
250,4,10,adaptive-a0.40,3,0.3023255813953489,1,0.5720159645479385,160,80,80,250,238,12,13,0.0029
250,4,10,adaptive-a0.50,4,0.4186046511627907,1,0.5614523744109551,150,80,70,250,238,12,24,0.0022
250,4,10,fixed-1,1,0.06976744186046512,2,0.0,250,80,170,250,238,12,1,0.0031
250,4,10,fixed-2,2,0.186046511627907,2,0.5362232011686361,162,80,82,250,238,12,6,0.0029
250,4,10,fixed-3,3,0.3023255813953489,2,0.5500987963680217,160,80,80,250,238,12,10,0.0029
250,4,10,fixed-5,5,0.5348837209302325,2,0.7360231120005686,68,80,12,250,238,12,56,0.0027
250,4,10,fixed-7,7,0.7674418604651163,2,0.29148335104762285,46,80,34,250,238,12,140,0.0027
250,4,10,adaptive-a0.30,2,0.186046511627907,2,0.5362232011686361,162,80,82,250,238,12,6,0.0024
250,4,10,adaptive-a0.40,3,0.3023255813953489,2,0.5500987963680217,160,80,80,250,238,12,10,0.004
250,4,10,adaptive-a0.50,4,0.4186046511627907,2,0.8818834152231979,80,80,0,250,238,12,28,0.0035
250,4,10,fixed-1,1,0.06976744186046512,3,0.01196912702781015,248,80,168,250,238,12,3,0.0038
250,4,10,fixed-2,2,0.186046511627907,3,0.5452829204556154,163,80,83,250,238,12,7,0.0038
250,4,10,fixed-3,3,0.3023255813953489,3,0.5406283183880475,161,80,81,250,238,12,11,0.0036
250,4,10,fixed-5,5,0.5348837209302325,3,0.7492937010785347,71,80,9,250,238,12,52,0.0034
250,4,10,fixed-7,7,0.7674418604651163,3,0.2993494448786868,43,80,37,250,238,12,137,0.0018
250,4,10,adaptive-a0.30,2,0.186046511627907,3,0.5452829204556154,163,80,83,250,238,12,7,0.0019
250,4,10,adaptive-a0.40,3,0.3023255813953489,3,0.5406283183880475,161,80,81,250,238,12,11,0.0023
250,4,10,adaptive-a0.50,4,0.4186046511627907,3,0.9112994593827918,78,80,2,250,238,12,23,0.0037
250,4,10,fixed-1,1,0.06976744186046512,4,0.005925074756652618,249,80,169,250,238,12,2,0.0037
250,4,10,fixed-2,2,0.186046511627907,4,0.011697436698206448,247,80,167,250,238,12,4,0.0036
250,4,10,fixed-3,3,0.3023255813953489,4,0.548608504002424,159,80,79,250,238,12,11,0.0035
250,4,10,fixed-5,5,0.5348837209302325,4,0.3895300422559082,114,80,34,250,238,12,78,0.0033
250,4,10,fixed-7,7,0.7674418604651163,4,0.15516561373262377,31,80,49,250,238,12,171,0.0036
250,4,10,adaptive-a0.30,2,0.186046511627907,4,0.011697436698206448,247,80,167,250,238,12,4,0.0038
250,4,10,adaptive-a0.40,3,0.3023255813953489,4,0.548608504002424,159,80,79,250,238,12,11,0.0035
250,4,10,adaptive-a0.50,4,0.4186046511627907,4,0.5366941582307644,141,80,61,250,238,12,32,0.0034
500,4,10,fixed-1,1,0.09090909090909091,0,0.00883553925574429,497,159,338,500,475,25,4,0.0127
